縣市,選舉區,姓名,號次,性別,出生年月日,年齡,推薦之政黨,當選次數(1998-2018),2018當選,議員照片,政治家族,涉案紀錄,吹哨者的涉案紀錄,政治工作,其他
台北市,1,郝淑薏,12,女,1970-04-10T00:00:00Z,52,無,0,n,y,無,無,無,曾代表合一行動聯盟參選2020不分區立委席次,無
台北市,2,江志銘,3,男,1962-08-10T00:00:00Z,60,民主進步黨,3,y,y,無,無,無,"2018年當選議員
曾任3屆議員
陳水扁總統辦公室秘書
曾任台日經濟文化協會理事
臺北市扁友會召集人
民進黨全國評召聯誼會會長
民進黨台北市黨部執行委員","蓬萊島雜誌副社長
紙風車兒童藝術下鄉志工主席 
台北市輕艇協會理事長"
台北市,2,陳志明,1,男,1976-06-12T00:00:00Z,46,時代力量,0,n,y,無,無,無,"曾任黃國昌立法院助理
曾任時代力量新北黨部執行長
曾任時代力量秘書長","台灣國際同志權益促進會發言人
代表時代力量參選2018新北市三重蘆洲區市議員未當選"
台北市,2,游淑慧,12,女,1976-07-28T00:00:00Z,46,中國國民黨,1,y,y,無,無,無,"2018年當選議員
曾任1屆議員
曾任臺北市政府觀光傳播局主任祕書
曾任國家政策研究基金會政策研究組顧問
曾任郝龍斌市長室專門委員/發言人、國會辦公室助理、環保署署長秘書
曾任國民黨智庫策略研究組顧問","台北農產運銷公司董事
中華民國紅十字會機要"
台北市,2,李明賢,4,男,1973-09-30T00:00:00Z,49,中國國民黨,1,y,y,無,無,無,"2018年當選議員
曾任1屆議員
曾任國民黨文傳會主委、中央黨部發言人","曾於《青年日報》、《中央日報》、《自由時報》、《聯合報》、《中國時報》擔任記者
2021年獲邀為《美國國務院》「美國領袖人才參訪計畫（IVLP）」台灣代表
2021年起任國立台北商業大學講師"
台北市,2,何孟樺,8,女,1989-05-01T00:00:00Z,33,民主進步黨,0,n,y,無,無,無,"曾任民主進步黨青年發展部副主任
曾任民主進步黨發言人
曾任民主進步黨青年發展部主任
曾任民主進步黨網路部主任
曾任中華民國國安會幕僚
現任民主進步黨臺北市黨部副執行長","日本台灣交流協會訪日研究員
亞太青年協會副秘書長"
台北市,2,王孝維,6,男,1961-06-10T00:00:00Z,61,民主進步黨,3,n,y,無,曾犯下強盜罪，遭判刑3年6月，執行2年4月。[https://news.ltn.com.tw/news/politics/breakingnews/3156534],曾犯下強盜罪，遭判刑3年6月，執行2年4月。[https://news.ltn.com.tw/news/politics/breakingnews/3156534],"曾任3屆議員
曾任民進黨中執委","曾任綠色和平電台主持人
曾任獅子會會長
曾任扶輪社會長
曾任同濟會會長
2018年參選台北內湖、南港區市議員未當選"
台北市,2,李建昌,10,男,1962-08-22T00:00:00Z,60,民主進步黨,6,y,y,無,無,無,"2018年當選議員
曾任6屆議員
曾任民進黨中評委
曾任臺北市議會民進黨黨團總召集人",2004年「手牽手護臺灣」臺北市總指揮
台北市,2,闕枚莎,11,女,1972-04-05T00:00:00Z,50,中國國民黨,4,y,y,父親是5屆議員謝英美,無,無,"2018年當選議員
曾任4屆議員
曾任國大代表、國民黨全國青工總會會長",無
台北市,2,李彥秀,13,女,1971-12-18T00:00:00Z,51,中國國民黨,5,n,y,"祖父是南港鎮民代表、1屆台北縣議員的李福人
父親是2屆台北市議員李金璋，因罹癌交棒
丈夫是2屆台北市議員侯冠群",無,無,"曾任5屆議員
曾任1屆立委，並擔任國民黨立法院黨團書記長
曾任國民黨第17、18、19全會中央委員
曾任國民黨中央委員會組織發展委員會婦女部主任
曾任國民黨中央委員會副秘書長","婦女政策推動發展文教基金會董事長
青溪婦聯會南港支分會主任委員"
台北市,2,陳宥丞,7,男,1986-04-30T00:00:00Z,36,台灣民眾黨,0,n,y,無,無,無,"曾任台灣民眾黨北市黨部副主委和港湖服務處
曾任蔡壁如委員辦公室
曾任林國成議員辦公室
1998年加入黃珊珊團隊迄今",無
台北市,2,吳世正,5,男,1963-04-11T00:00:00Z,59,中國國民黨,6,y,y,無,無,無,"2018年當選議員
曾任6屆議員","曾任記者、主播
內湖區體育會理事長"
台北市,2,吳欣岱,9,女,1987-07-01T00:00:00Z,35,台灣基進,0,n,y,無,無,無,無,"衛生福利部屏東醫院心臟血管外科醫師
曾任臺中醫院外科住院醫師
曾任豐原醫院不分科住院醫師
2020年為台灣基進黨全國不分區立委參選人，未當選"
台北市,2,劉榮之,2,男,1977-12-12T00:00:00Z,45,新黨,0,n,y,無,無,無,無,"曾擔任國高中棒球教練
2018年代表國民黨參選北市信義區松友里里長，未當選"
台北市,3,詹為元,9,男,1983-07-29T00:00:00Z,39,中國國民黨,0,n,y,無,無,無,"曾任丁守中國會辦公室法案助理
曾任蔣萬安國會辦公室法案助理
曾任丁守中台北市長競選發言人
曾任江啟臣國會辦公室主任",無
台北市,3,林柏勛,5,男,1983-11-15T00:00:00Z,39,時代力量,0,n,y,無,無,無,無,"影評人
曾任中華鯨豚協會烏石港賞鯨解說員
2018年曾代表樹黨參選台北市議員，未當選"
台北市,3,許淑華,13,女,1973-05-22T00:00:00Z,49,民主進步黨,4,y,y,無,無,無,"2018年當選議員
曾任4屆議員
曾任立委蕭美琴服務處主任
曾任立委段宜康辦公室主任",曾任臺灣區彰化同鄉會全國總會副秘書長
台北市,3,許家蓓,3,女,1977-04-15T00:00:00Z,45,民主進步黨,2,y,y,父親是民進黨創黨元老、2屆議員許富男,無,無,"2018年當選議員
曾任2屆議員
曾任立委高志鵬辦公室副主任
曾任議員許富男研究室主任
曾任民進黨台北市黨部執委、黨代表",無
台北市,3,秦慧珠,8,女,1955-03-27T00:00:00Z,67,中國國民黨,3,y,y,無,無,無,"2018年當選議員
隸屬國民黨軍系成員，隸屬黃復興黨
2000年曾投靠親民黨，2005年回到國民黨
曾任3屆議員
曾任2屆立委
曾任台北縣政府觀光旅遊局局長","曾任中華民國小胖威利病友關懷協會理事長
曾任臺北市社區發展協會理事長
曾任財團法人中華民國早產兒基金會董事
曾任財團法人臺北市愛心媽媽文教基金會董事長
父親是國軍滯留越南富台部隊一員"
台北市,3,楊寶楨,6,女,1989-12-17T00:00:00Z,33,台灣民眾黨,0,n,y,無,無,無,曾任台灣民眾黨發言人,"曾任Hit FM聯播網《嗆新聞》節目主持人
曾任今周刊記者及研究員
曾任非凡新聞台科技線記者
曾任非凡新聞台《科技看非凡》主持人
曾任仟和億教育培訓財經節目主講人"
台北市,3,張文潔,2,女,1984-10-08T00:00:00Z,38,民主進步黨,0,n,y,父親是民進黨籍台北市議員張茂楠,無,無,"曾任張茂楠議員辦公室主任
小英總統青年軍",無
台北市,3,徐巧芯,11,女,1989-11-18T00:00:00Z,33,中國國民黨,1,y,y,無,無,無,"2018年當選議員
曾任1屆議員
曾任馬英九辦公室發言人
曾任國民黨青年團總團長、草協聯盟發起人
曾任洪秀柱競選辦公室發言人
曾任郝龍斌競選辦公室發言人
曾任朱立倫競選辦公室發言人","經常上政論節目，爆料各種政治內幕
曾發言核廢料「可以放我家的話我OK」
曾反對立委傅崐萁恢復黨籍
因路邊違停，遭質疑利用議員身分對警察施壓"
台北市,3,洪健益,16,男,1970-11-03T00:00:00Z,52,民主進步黨,4,y,y,無,無,無,"2018年當選議員
曾任4屆議員
前立委徐國勇、卓榮泰辦公室主任
謝長廷競選臺北市長競選總部副總幹事
2008總統大選謝長廷蘇貞昌競選總部全國組織部執行長","臺北市軟式棒球協會理事長
綠色和平電台主持人
曾任無極松興清水嚴管委會顧問
曾任信義區中坡福壽宮管理委員會顧問"
台北市,3,戴錫欽,12,男,1966-10-28T00:00:00Z,56,中國國民黨,5,y,y,無,無,無,"2018年當選議員
曾任5屆議員
曾任立委林郁方、李慶安助理
曾任立法院助理工會副總幹事
曾任國民黨文傳會副主委暨發言人
曾任國民黨市議會黨團副書記長","《中天新聞》政治組組長
《台灣日報》國會組召集人"
台北市,3,王鴻薇,14,女,1964-07-10T00:00:00Z,58,中國國民黨,4,y,y,無,無,無,"2018年當選議員
曾任4屆議員
曾任國民黨文傳會副主委","曾於《臺灣時報》、《工商時報》、《聯合報》擔任記者
曾於中國《中央電視台》國際頻道節目上稱蔡英文為「台灣地區領導人」引發爭議
舉報林智堅論文抄襲事件"
台北市,3,高毓安,10,男,1993-08-25T00:00:00Z,29,無,0,n,y,無,無,無,曾任罷昶團體發言人,"從事政治幕僚及選舉操盤等工作
因認為制度不公未參加國民黨內初選"
台北市,3,吳崢,15,男,1989-07-03T00:00:00Z,33,無,0,n,y,無,無,無,"曾任立委林昶佐助理
曾任時代力量發言人
曾在太陽花學運中擔任媒體組組長
無黨籍台北市議員林亮君特別助理","國立台灣大學政治系政治理論組肄業
台灣民間支援香港協會常務理事
社團法人黑潮城市發展協會理事長
2019年退出時代力量"
台北市,3,吳蕚洋,4,男,1960-08-15T00:00:00Z,62,無,0,n,y,無,無,無,"具有安定力量黨籍
創立白色聯盟並擔任執行長
2019曾任花蓮縣「花蓮觀光文化推廣大使」","曾任兆豐金控旗下子公司兆豐產險花蓮分公司經理
2018年投入台北市長選舉，未當選
2020年代表安定力量參選不分區立委，未當選"
台北市,3,洪士奇,7,男,1962-07-29T00:00:00Z,60,無,0,n,y,無,無,無,曾任新竹市衛生局局長,"曾任台北市立忠孝醫院副院長、中興醫院副院長
「台北監督連線」成員之一
抗SARS期間志願進駐和平醫院擔任淨空院區作業副指揮官
曾6度參選市議員皆未當選"
台北市,3,郭榮先,1,男,1979-02-25T00:00:00Z,43,新黨,0,n,y,無,無,無,無,通過國家藥師考試
台北市,4,柳采葳,8,女,1990-09-07T00:00:00Z,32,中國國民黨,0,n,y,無,無,無,曾任國民黨發言人,曾在TVBS擔任政治線記者、主播、主持人
台北市,4,梁文傑,12,男,1971-11-26T00:00:00Z,51,民主進步黨,3,y,y,無,無,無,"2018年當選議員
2018年當選議員
曾任3屆議員
曾任民進黨中國事務部副主任、策會首席副執行長","曾任真理大學法律系憲法學講師
台灣新社會智庫《新社會政策雙月刊》總編輯"
台北市,4,王世堅,6,男,1960-01-01T00:00:00Z,62,民主進步黨,5,y,y,無,"登載不實憑證逃漏稅，違反《商業會計法》等，判刑6月，緩刑3年確定。[https://law.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPDM,88%2c%e8%a8%b4%2c500%2c20000822]
日成營造公司聘僱許可失效之外國人，違反《就業服務法》，判刑5月確定。[https://law.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=PCDM,88%2c%e6%98%93%2c3997%2c20001121]
在台北市議會議場內以「下三濫、不要臉」等言語辱罵市議員李慶元，涉及妨害名譽罪責，業經刑事法院判處罰金300元。[https://law.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPHV%2C94%2C%E4%B8%8A%E6%98%93%2C461%2C20050906%2C1]
因國民黨前主席連戰欲率團訪中，號召綠營支持者至機場表達抗議，犯妨害公務、演說侮辱他人罪，判刑6月確定。[https://law.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TYDM,97%2c%e7%b0%a1%e4%b8%8a%2c384%2c20100528%2c1]
處理陳情期間辱罵員警，犯妨害公務罪，判拘役50日確定。[https://law.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPDM,95%2c%e7%b0%a1%2c2178%2c20060731%2c1]
受訪時影射台北市前顧問洪智坤疑收遠雄的錢，犯誹謗罪，判拘役50日確定。[https://law.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPHM%2c105%2c%e4%b8%8a%e6%98%93%2c2058%2c20161220%2c1&ot=in]","登載不實憑證逃漏稅，違反《商業會計法》等，判刑6月，緩刑3年確定。[https://law.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPDM,88%2c%e8%a8%b4%2c500%2c20000822]
 聘僱許可失效之外國人，違反《就業服務法》，判刑5月確定。[https://law.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=PCDM,88%2c%e6%98%93%2c3997%2c20001121]
 在台北市議會議場內以「下三濫、不要臉」等言語辱罵市議員李慶元，涉及妨害名譽罪責，業經刑事法院判處罰金300元。[https://law.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPHV%2C94%2C%E4%B8%8A%E6%98%93%2C461%2C20050906%2C1]
 因國民黨前主席連戰欲率團訪問中國，王世堅等人號召民主進步黨及台灣團結聯盟等支持者至桃園國際機場參與集會表達抗議，犯妨害公務、演說侮辱他人罪，判刑6月確定。[https://law.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TYDM,97%2c%e7%b0%a1%e4%b8%8a%2c384%2c20100528%2c1]
 處理陳情期間辱罵員警，犯妨害公務罪，判拘役50日確定。[https://law.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPDM,95%2c%e7%b0%a1%2c2178%2c20060731%2c1]
 受訪時影射台北市前顧問洪智坤疑收遠雄的錢，犯刑法第310條第1項之誹謗罪，判拘役50日確定。[https://law.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPHM%2c105%2c%e4%b8%8a%e6%98%93%2c2058%2c20161220%2c1&ot=in]","2018年當選議員
曾任5屆議員
曾任1屆立委
曾任民主進步黨中央黨部執行委員","擔任日成營造董事長
《自立晚報》董事長"
台北市,4,顏若芳,10,女,1985-10-27T00:00:00Z,37,民主進步黨,1,n,y,無,無,無,"曾任1屆議員
曾任議員簡余晏辦公室主任
曾任民進黨台北市黨代表
曾任民主進步黨中央黨部發言人
曾任民主進步黨新聞輿情部主任
現任民主進步黨全國黨代表","曾任臺北市雲林同鄉會幹部
曾任中華民國老人福利關懷協會榮譽顧問"
台北市,4,林珍羽,13,女,1987-04-14T00:00:00Z,35,台灣民眾黨,0,n,y,父親是4屆台北市議員林國成,無,無,"曾任台灣民眾黨發言人
台北市政府原住民事務委員會機要秘書
台北市政府市長隨行秘書","曾任三立電視行銷公關
民眾黨創黨黨員之一"
台北市,4,連紹傑,7,男,1985-04-17T00:00:00Z,37,小民參政歐巴桑聯盟,0,n,y,無,無,無,無,"參選前為科技業上班族
關心兒童人權、托育、育嬰議題"
台北市,4,林婕麗,3,女,1966-05-15T00:00:00Z,56,新黨,0,n,y,無,無,無,"曾任議員陳政忠助理
臺北市議會議員研究室主任","2018年因堅持參選被市議員而遭國民黨停權，2022年因同舟計畫回國民黨，但不符參選資格於6月再度退黨
台灣警雁關懷協會公關長
臺北市體育總會滑輪板協會理事長"
台北市,4,葉林傳,9,男,1969-07-16T00:00:00Z,53,中國國民黨,3,y,y,無,無,無,"2018年當選議員
曾任3屆議員
曾任圓山里里長、中山區里長聯誼會會長
曾任國民黨市黨部副主委
曾任國民黨中央委員",無
台北市,4,林亮君,4,女,1989-12-25T00:00:00Z,33,無,1,y,y,遠房表姊為社民黨台北市議員苗博雅,無,無,"2018年當選議員
曾任1屆議員
曾任立委林昶佐國會辦公室特助
曾任議員簡余晏辦公室助理","島國前進共同發起人
曾參與太陽花運動、割闌尾計畫
曾於憲法133實踐聯盟擔任媒體聯絡人
於2019年退出時代力量"
台北市,4,徐千淳,11,女,1986-07-27T00:00:00Z,36,時代力量,0,n,y,無,無,無,無,"曾任Haftix Films 柒天映象製片人、導演
東京 Filmex 影展青年訓練營入選台灣代表
柏林影展青年訓練營入選台灣代表"
台北市,4,陳怡君,1,女,1979-05-04T00:00:00Z,43,民主進步黨,1,y,y,母親是大同區保安里里長張賦脈,無,無,"2018年當選議員
曾任1屆議員
曾任民進黨台北市黨部執行長
曾任游錫堃、簡余晏辦公室助理",民進黨內正國會成員
台北市,4,陳炳甫,5,男,1971-04-01T00:00:00Z,51,中國國民黨,2,y,y,姊姊是5屆議員陳玉梅,無,無,"曾任2屆議員
曾任議員陳玉梅服務處執行長","曾任臺北市快慢速壘球協會理事長
曾任中華民國棒球協會理事
曾任臺北市體育總會理事
父親是中華職棒前會長、台灣養樂食品公司董事長陳重光"
台北市,4,高世俊,2,男,1986-05-17T00:00:00Z,36,中國國民黨,0,n,y,無,無,無,曾服務於議員王浩辦公室,前永豐餘駐外幹部、陸戰隊班長
台北市,5,曾琳詒,7,女,1991-08-21T00:00:00Z,31,台灣動物保護黨,0,n,y,無,無,無,現任臺灣動物保護黨秘書長,"人人愛有限公司負責人
碩成電子股份有限公司董事長特助
曾被診斷出乳癌，關注病後痊癒議題"
台北市,5,郭智亭,2,男,1980-08-19T00:00:00Z,42,無,0,n,y,無,無,無,無,"推廣中醫養生
從事塑膠／五金作業員
工程研發專員"
台北市,5,吳志剛,6,男,1971-09-09T00:00:00Z,51,中國國民黨,4,y,y,"父親是前國民黨黨主席吳伯雄
哥哥是前桃園縣長吳志揚",無,無,"2018年當選議員
曾任4屆議員
曾任國民黨中常委
曾任北市府客委會委員","曾任台北市中原客家崇正會理事長
曾任台北市樞石國際同濟會長
曾任台北市祥和獅子會會長"
台北市,5,邵維倫,9,男,1982-07-12T00:00:00Z,40,民主進步黨,0,n,y,無,無,無,"曾任立委段宜康助理
曾任台北市議員周威佑助理",「我是萬華人」社團管理員
台北市,5,吳怡萱,8,女,1989-08-17T00:00:00Z,33,台灣民眾黨,0,n,y,無,無,無,"曾任台灣民眾黨國家治理學院公關長
曾任郭台銘辦公室副發言人","曾任中天、台視、壹電視主播、記者
媒體稱民眾黨五大美女政治人物之一"
台北市,5,張榮法,11,男,1972-07-25T00:00:00Z,50,新黨,0,n,y,無,無,無,"曾任新黨組織委員會副主委
曾任林郁方立委競選團隊執行長","台北市好厝邊協會擔任執行長
新北市警察志工協進會擔任總幹事"
台北市,5,洪婉臻,17,女,1983-07-17T00:00:00Z,39,民主進步黨,0,n,y,無,無,無,"曾任正常國家促進會辦公室主任
曾任立法院游錫堃院長辦公室主任",曾任台視、澳亞衛視、三立新聞記者、主播
台北市,5,鍾小平,3,男,1962-08-27T00:00:00Z,60,中國國民黨,4,y,y,無,"違法收受政治獻金，遭判刑1月15日確定。[https://law.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPDM,100%2c%e5%af%a9%e6%98%93%2c318%2c20111118%2c1]","違法收受政治獻金，遭判刑1月15日確定。[https://law.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPDM,100%2c%e5%af%a9%e6%98%93%2c318%2c20111118%2c1]","2018年當選議員
曾任4屆議員","曾任台北市立福安國中教師
現任流浪動物之家基金會董事長
曾發動罷免林昶佐連署
曾發言表示「消滅技職體系，廢除十二年國教」
曾建議柯文哲將艋舺公園遮蔽物拆除，不要讓街友聚集"
